h_id,h_county,h_lat,h_lon,h_Workers,d_id,d_county,d_lat,d_lon
1,Walker,30.7389939,-95.5720823,11,1,Austin,29.8569279,-96.2443229
1,Walker,30.7389939,-95.5720823,96,2,Brazoria,29.1610141,-95.4534698
1,Walker,30.7389939,-95.5720823,35,3,Chambers,29.7384562,-94.6081095
1,Walker,30.7389939,-95.5720823,7,4,Colorado,29.6309593,-96.5443489
1,Walker,30.7389939,-95.5720823,127,5,Fort Bend,29.520214,-95.787262
1,Walker,30.7389939,-95.5720823,142,6,Galveston,29.3757357,-94.9611889
1,Walker,30.7389939,-95.5720823,3615,7,Harris,29.829487,-95.4614249
1,Walker,30.7389939,-95.5720823,113,8,Liberty,30.1509076,-94.8587991
1,Walker,30.7389939,-95.5720823,3,9,Matagorda,28.8152727,-96.0284508
1,Walker,30.7389939,-95.5720823,2447,10,Montgomery,30.3209926,-95.5279082
1,Walker,30.7389939,-95.5720823,54,12,Waller,29.9363935,-96.0026834
1,Walker,30.7389939,-95.5720823,15,13,Wharton,29.2649159,-96.2705795
